epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
149,3003.95,1.61275,1.51945,1.66384,0.74514,0.78341,0.81322,0.38882,1.79796,1.24231,1.6676,0.002674,0.002674,0.002674
150,3026.06,1.61749,1.55119,1.65875,0.75716,0.73979,0.79593,0.38167,1.85315,1.2215,1.73133,0.0026245,0.0026245,0.0026245
151,3048.11,1.59109,1.5088,1.64373,0.77311,0.71066,0.80282,0.38025,1.84603,1.22533,1.70602,0.002575,0.002575,0.002575
152,3069.64,1.59417,1.54221,1.65647,0.77075,0.7616,0.80979,0.37793,1.82736,1.23289,1.69405,0.0025255,0.0025255,0.0025255
153,3091.04,1.60327,1.54104,1.67524,0.77029,0.76952,0.80575,0.39194,1.83004,1.2028,1.67086,0.002476,0.002476,0.002476
154,3112.55,1.60788,1.5514,1.63746,0.78256,0.72468,0.80662,0.38363,1.83379,1.21561,1.68607,0.0024265,0.0024265,0.0024265
155,3134.27,1.58126,1.49827,1.64833,0.76358,0.76822,0.81675,0.38463,1.86568,1.21377,1.69805,0.002377,0.002377,0.002377
156,3155.79,1.61481,1.52811,1.6527,0.77053,0.76238,0.80417,0.37641,1.86109,1.19963,1.71087,0.0023275,0.0023275,0.0023275
157,3177.41,1.58119,1.48989,1.65457,0.74949,0.78845,0.80816,0.38255,1.84248,1.20133,1.69961,0.002278,0.002278,0.002278
158,3199.02,1.58877,1.49599,1.64707,0.83067,0.75887,0.82888,0.39528,1.82788,1.19768,1.69303,0.0022285,0.0022285,0.0022285
159,3220.63,1.57179,1.4878,1.65053,0.77028,0.76081,0.81151,0.38644,1.83856,1.22284,1.70185,0.002179,0.002179,0.002179
160,3242.32,1.60215,1.51606,1.6693,0.81383,0.74466,0.81647,0.39179,1.84194,1.20487,1.68001,0.0021295,0.0021295,0.0021295
161,3264.08,1.58818,1.47097,1.65593,0.77575,0.73816,0.81049,0.39279,1.80792,1.18864,1.6761,0.00208,0.00208,0.00208
162,3285.71,1.57881,1.51884,1.66456,0.79982,0.7353,0.8087,0.38919,1.82497,1.21105,1.68743,0.0020305,0.0020305,0.0020305
163,3307.33,1.57715,1.45701,1.62937,0.79537,0.73871,0.82263,0.3958,1.80142,1.17387,1.68214,0.001981,0.001981,0.001981
164,3328.81,1.57712,1.48612,1.63805,0.77872,0.73085,0.82181,0.40293,1.78605,1.1896,1.66388,0.0019315,0.0019315,0.0019315
165,3350.44,1.58739,1.48466,1.65648,0.76673,0.75276,0.8161,0.38895,1.81403,1.18957,1.68215,0.001882,0.001882,0.001882
166,3374.1,1.57761,1.465,1.6397,0.76238,0.80742,0.83053,0.39721,1.82289,1.17318,1.69004,0.0018325,0.0018325,0.0018325
167,3392.76,1.57137,1.47046,1.65013,0.80131,0.75624,0.835,0.4048,1.82617,1.16756,1.68928,0.001783,0.001783,0.001783
168,3414.9,1.57121,1.47703,1.64562,0.77108,0.78796,0.83574,0.40107,1.83828,1.1544,1.696,0.0017335,0.0017335,0.0017335
169,3436.6,1.57423,1.47537,1.63448,0.78235,0.76933,0.83687,0.4001,1.81535,1.14105,1.67394,0.001684,0.001684,0.001684
170,3458.32,1.57905,1.47027,1.64088,0.79568,0.77747,0.83905,0.40342,1.80972,1.13464,1.67736,0.0016345,0.0016345,0.0016345
171,3479.9,1.54677,1.44617,1.61583,0.78709,0.76277,0.82506,0.40121,1.81368,1.14606,1.67773,0.001585,0.001585,0.001585
172,3501.98,1.56872,1.47705,1.63806,0.80491,0.78248,0.83717,0.40717,1.81479,1.17039,1.68425,0.0015355,0.0015355,0.0015355
173,3523.61,1.56179,1.44167,1.63634,0.7995,0.78299,0.83161,0.40434,1.80098,1.15797,1.67573,0.001486,0.001486,0.001486
174,3545.18,1.55678,1.46174,1.63076,0.80623,0.76679,0.82478,0.40573,1.81373,1.13926,1.67976,0.0014365,0.0014365,0.0014365
175,3566.69,1.57921,1.48322,1.64275,0.80288,0.77085,0.83878,0.40788,1.80489,1.13371,1.66667,0.001387,0.001387,0.001387
176,3588.52,1.5163,1.39921,1.5943,0.79211,0.79561,0.84468,0.41034,1.79383,1.14056,1.66921,0.0013375,0.0013375,0.0013375
177,3610.1,1.56757,1.4337,1.64494,0.82824,0.76916,0.84038,0.41014,1.80191,1.14442,1.67481,0.001288,0.001288,0.001288
178,3631.58,1.54748,1.4195,1.62121,0.79122,0.77228,0.83288,0.41358,1.79251,1.12814,1.66922,0.0012385,0.0012385,0.0012385
179,3653.49,1.51891,1.39701,1.60485,0.80775,0.76115,0.84778,0.4159,1.80727,1.12015,1.66907,0.001189,0.001189,0.001189
180,3675.11,1.54108,1.42627,1.6239,0.83297,0.76905,0.85128,0.41572,1.83288,1.11099,1.69517,0.0011395,0.0011395,0.0011395
